,id,rank,legalStatus,type,title,summary,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath
30,US2021191530A1,0,公开,发明申请,ELECTRONIC DEVICE HAVING MULTI-FUNCTIONAL HUMAN INTERFACE,"A multi-functional human interface device includes a control unit and a first multi-functional input button. The first multi-functional input button includes a cover unit configured to receive a touch input of a user's finger, an electrode unit including a transmitter and a receiver to form an electric field, an elastic unit configured to move from a first height to a second height when a first pressure is applied from the cover unit and configured to move back to the first height when the first pressure from the cover unit is released, and a switch unit configured to generate an electric signal representing an input of a predetermined letter.","INNOPRESSO, INC.",2021-03-09,G06F3/02,US17196275,US20210191530A1,2021-06-24,Eunhyung CHO,企业,G06F3/02; G06F3/038; G06F3/0354,,/docs/US/2021-06-24/US20210191530A1/abs.jpg.150x150.jpg
31,US2021191487A1,0,公开,发明申请,METHODS AND APPARATUS RELATING TO THE SUPPLY OF POWER TO POWER OVER ETHERNET DEVICES,"An access point, which is a Power over Ethernet (PoE) Powered Device (PD) measures input voltage and input current. The access point determines a power requirement of the access point based on the measured current, measured voltage, and information about power requirements of access point components or devices coupled to the access point a power requirement of the access point. The access point communicates the determined power request to a power sourcing equipment (PSE), e.g., a network switch. In some embodiments, the access point further communicates one of: measured input current and measured input voltage to the PSE. The PSE uses the information received from the access point, e.g., power request and power measurements to determine an amount of power to be granted to the access point. If the access point does not receive the requested power level the access point selects internal components and/or external devices to de-power.","Juniper Networks, Inc.",2021-03-09,G06F1/26,US17196439,US20210191487A1,2021-06-24,Josh Rosenthal; John Musante,企业,G06F1/26; H04L12/10; H04L12/40; G06F1/3206,,/docs/US/2021-06-24/US20210191487A1/abs.jpg.150x150.jpg
32,US2021191456A1,0,公开,发明申请,Speaker Assembly in a Display Assistant Device,"In a display assistant device, a speaker is mounted in a waveguide structure which is at least partially disposed beneath a display screen. The waveguide structure is mounted in an exterior housing which includes speaker grills distributed on a plurality of surfaces of the exterior housing, permitting sound waves from the speaker to be projected outside the exterior housing. A cover structure is disposed on top of the waveguide structure to conceal the waveguide structure and speaker within the exterior housing. The cover structure has a tilted bottom surface configured to be suspended above the waveguide structure and to be separated by a first space. Sound waves projected from an upper portion of the speaker are reflected by the tilted bottom surface and are guided through the first space to exit the device from a speaker grill portion located on a rear side of the exterior housing.",Google LLC,2021-03-09,G06F1/16,US17196060,US20210191456A1,2021-06-24,James Nelson Castro; Carl Alexander Cepress; Liang Ching Tseng; Darren Torrie; Frances Maria Hui Kwee; Rex Pinegar Price,企业,G06F1/16; G02F1/1333; G02F1/1337; G06F3/16; G10L15/28; G06F21/83; H04R1/02; H04R1/34,,/docs/US/2021-06-24/US20210191456A1/abs.jpg.150x150.jpg
33,US2021189213A1,0,公开,发明申请,THERMAL INTERFACE MATERIAL,"Provided herein is a composition for use as a thermal interface material in a heat-generating device. The composition comprises a first part and a second part, the first part comprising polyisobutylene, a reactive diluent mixture, a catalyst, and one or more thermally conductive fillers, and the second part comprising polyisobutylene, the reactive diluent mixture, a silicone based cross-linker, an inhibitor and one or more thermally conductive fillers.",HENKEL IP & HOLDING GMBH,2021-03-09,C09K5/14,US17195722,US20210189213A1,2021-06-24,Yu CHEN; Lynnette M. HURLBURT; Andrew D. MESSANA; Kevin J. WELCH; Robert Parkins CROSS,企业,C09K5/14; C08G77/442; H05K7/20,,/docs/US/2021-06-24/US20210189213A1/abs.jpg.150x150.jpg
34,US2021188604A1,0,公开,发明申请,LIFT ASSEMBLY SYSTEMS AND METHODS,"A lift assembly including an article to be lifted between a lowered position and a raised position, a flexible drive element coupled to the article and defining a longitudinal axis, a power mechanism coupled to the flexible drive element, a drum powered by the power mechanism and dimensioned to facilitate winding of the flexible drive element onto the drum, and a cable keeper providing a force on the flexible drive element to bias the flexible drive element toward the drum.","Electronic Theatre Controls, Inc.",2021-03-09,B66D5/16,US17195725,US20210188604A1,2021-06-24,"Donald A. Hoffend, III; William R. Florac; Michael Lichter; Edwin W. Bolz",企业,B66D5/16; F16M13/02; A63J1/02; G01L5/102; G01L5/107; B66D1/38; B66D1/56,,/docs/US/2021-06-24/US20210188604A1/abs.jpg.150x150.jpg
35,US2021188065A1,0,公开,发明申请,Vehicle Cover And Integrated Security System,"A system includes a vehicle cover, a mechanical tensioning device, a memory device, storing instructions, and one or more processors configured to execute instructions to perform the steps of a method to secure a vehicle. The mechanical tensioning device may include attachment means to attach the device to a wheel of the vehicle and means to attach a security cable of the vehicle cover integrated into a bottom edge of the vehicle cover to the mechanical tensioning device. The mechanical tensioning device may include a rotational reel connected to either a tensioning motor or a tensioning crank and optionally including either a mechanical bi-stable device or one or more sensors configured to monitor the tension of the security cable when engaged to the mechanical tensioning device. The processor may monitor for a change in tension and execute one or more security measures in response.","SinchTech Covers, LLC",2021-03-09,B60J11/04,US17196916,US20210188065A1,2021-06-24,David Allen Mellick; Patrick Michael Molvik; Robert Dean Bittick; Lisa Marie Daniels,企业,B60J11/04; B60R25/30; B60R25/102; B60R25/10,,/docs/US/2021-06-24/US20210188065A1/abs.jpg.150x150.jpg
36,US2021186088A1,0,公开,发明申请,ELECTRONIC CIGARETTE AND ATOMIZER THEREOF,"The present disclosure provides an electronic cigarette atomizer, including an atomization assembly and a liquid reservoir engaging with the atomization assembly; the liquid reservoir includes a liquid storage cavity; wherein the atomization assembly includes a lower holder, an upper holder installed on the lower holder, and a heating assembly clamped between the lower and the upper holders; the heating assembly includes a porous body and at least one heater engaging with the porous body, and the porous body has an atomizing surface and a liquid-absorbing surface; and the liquid-absorbing surface communicates with the liquid storage cavity, and an atomization cavity is formed between the atomizing surface and the lower holder. In the present disclosure, the heating assembly is a porous body and is clamped by the upper holder and the lower holder, thus, the structure is stable and the assembly of the heating assembly is facilitated.",SHENZHEN SMOORE TECHNOLOGY LIMITED,2021-03-09,A24F1/00,US17196971,US20210186088A1,2021-06-24,Xiaoping LI; Changyong YI; Zhenlong JIANG,企业,A24F1/00; A61M11/04; C04B35/00; A61M15/06; A24F40/46; A24F40/485,,/docs/US/2021-06-24/US20210186088A1/abs.jpg.150x150.jpg
37,US2021185979A1,0,公开,发明申请,Electronic Ear Tag,"An electronic ear tag allows an individual to track a herd animal. Further, the electronic ear tag is an ultra-low power, and lightweight tag that runs only when needed. The electronic ear tag includes a substrate, a microcontroller, a rechargeable battery, a wireless communication module, a global positioning system (GPS) module, and a solar panel. The substrate is a circuit board used to support the electronic components of the present invention. The microcontroller is used to manage and control the electronic components of the electronic ear tag. The rechargeable battery is the main power source of the electronic ear tag. The wireless communication module allows the electronic ear tag to communicate with a central network. The GPS module allows the electronic ear tag to communicate with a GPS satellite. The solar panel converts solar energy into electrical energy used to charge the rechargeable battery.",Andy Doyle Jones,2021-03-09,A01K11/00,US17196993,US20210185979A1,2021-06-24,Andy Doyle Jones,其他,A01K11/00; G08C17/02,,/docs/US/2021-06-24/US20210185979A1/abs.jpg.150x150.jpg
38,US2021185978A1,0,公开,发明申请,"Method of Implementing a Lightweight, Electronic Ear Tag for Location Tracking and Geo-Fencing Tasks","A method of implementing a lightweight, electronic ear tag allows for location tracking and geo-fencing tasks of a herd animal. A location-tracking device tracks spatial-positioning data of electronic ear tag. A communication node relays the spatial-positioning data to at least one remote server hosting an owner account that allows the owner to interact with the electronic ear tag. Accordingly, the spatial-positioning data is relayed from a low-power transceiver to a low-power gateway, if the electronic ear tag is in communication with the communication node. If the electronic ear tag is not in communication with the communication node, the spatial-positioning data is archived and store locally in the electronic ear tag. A high-power gateway provided at the communication node relays the spatial-positioning data to the remote server. Accordingly, the remote server generates a graphical representation of the spatial-positioning data, which is finally displayed on a personal computing device of the owner.",Andy Doyle Jones,2021-03-09,A01K11/00,US17196987,US20210185978A1,2021-06-24,Andy Doyle Jones,其他,A01K11/00; A01K29/00; H04W4/021; H04W4/029; H04W4/12,,/docs/US/2021-06-24/US20210185978A1/abs.jpg.150x150.jpg
39,US2021195391A1,0,公开,发明申请,DIFFERENT PROFILES FOR SELECTING DIFFERENT NETWORK INTERFACES FOR COMMUNICATIONS OF AN ELECTRONIC DEVICE,"In some examples, an electronic device includes a plurality of network interfaces to communicate over respective different networks, and a storage medium to store information associating a first application of the electronic device with a first profile, and associating a second application of the electronic device with a second profile. The first profile selects a first network interface of the plurality of network interfaces to use for communications, and the second profile selects a second network interface of the plurality of network interfaces to use for communications.",BlackBerry Limited,2021-03-08,H04W4/60,US17195059,US20210195391A1,2021-06-24,Michael John Rogan,企业,H04W4/60; H04L12/46; H04L29/08; H04W8/18; H04W92/10,,/docs/US/2021-06-24/US20210195391A1/abs.jpg.150x150.jpg
40,US2021195293A1,0,公开,发明申请,Media Presentation Device with Voice Command Feature,"A media presentation device determines a voice command associated with media content presented by the media presentation device. The media presentation device then listens for and detects utterance of the determined voice command during presentation of the media content, and the media presentation device responds to the detected utterance by performing an action that facilitates user purchase of the good or service associated with the media content segment.","The Nielsen Company (US), LLC",2021-03-08,H04N21/478,US17194581,US20210195293A1,2021-06-24,John R. Burbank; Kurt Roman Thielen,企业,H04N21/478; H04N21/2389; H04N21/658; G10L15/26,,/docs/US/2021-06-24/US20210195293A1/abs.jpg.150x150.jpg
41,US2021195097A1,0,公开,发明申请,"SYSTEMS, DEVICES, AND METHODS FOR ENABLING CAMERA ADJUSTMENTS","Determine a current position of a camera relative to a road based on a set of imagery from the camera and a recommended position of the camera relative to the road based on the set of imagery from the camera, while the camera is maintained at a constant height relative to the road and a constant lateral distance relative to the road. The camera can be positionally adjusted from the current position to the recommended position based on a movement of the camera about a Y-axis or a Z-axis of the camera at that time relative to the road. In order to enable movement of the camera, a guide can be output to a user such that the user can follow the guide and move the camera from the current position to the recommended position.",Intelligent Security Systems Corporation,2021-03-08,H04N5/232,US17195327,US20210195097A1,2021-06-24,Andrey Nikitin,企业,H04N5/232; H04N5/225; H04N7/18; G06T7/70; G06T7/80; G06K9/00,,/docs/US/2021-06-24/US20210195097A1/abs.jpg.150x150.jpg
42,US2021195011A1,0,公开,发明申请,ENTERTAINMENT SYSTEMS AND METHODS,"A method, device, system, and media are directed to controlling a multi-tuner radio. A voice command may be received and/or filtered. An operation of the radio may be modified based on the voice command. A gesture input may be received through a gesture pad. Another operation of the multi-tuner radio may be modified based on the received gesture input. A fingerprint may be recognized with a gesture pad. A user may be authenticated based on the recognized fingerprint. The operation or the other operation may be personalized based on the fingerprint. User training may be provided for the gesture input.","3D RADIO, LLC",2021-03-08,H04M1/60,US17195459,US20210195011A1,2021-06-24,Michael D. ELLIS,企业,H04M1/60; H04H20/71; H04H60/35; H04H60/74; H04W4/40; H04M1/72442,,/docs/US/2021-06-24/US20210195011A1/abs.jpg.150x150.jpg
43,US2021194902A1,0,公开,发明申请,"UNAUTHORIZED COMMUNICATION DETECTION METHOD, UNAUTHORIZED COMMUNICATION DETECTION SYSTEM, AND NON-TRANSITORY COMPUTER-READABLE RECORDING MEDIUM STORING A PROGRAM","An unauthorized activity detection method in an onboard network system. The detection method includes determining whether or not a message sent out onto the network is an attack message, saving information relating to the attack message in at least one memory in a case where the message is an attack message, identifying a communication pattern from information relating to the attack message, and determining whether or not the message matches a communication pattern. The determination of whether an attack message and determination of whether matching a communication pattern are executed on each of a plurality of messages received from the network. In the determining of whether an attack message executed on a message received after executing of determining of whether matching a communication pattern, results of the determination of whether an attack message that has already be executed are used.",PANASONIC INTELLECTUAL PROPERTY CORPORATION OF AMERICA,2021-03-08,H04L29/06,US17194514,US20210194902A1,2021-06-24,Manabu MAEDA; Takeshi KISHIKAWA; Daisuke KUNIMUNE,企业,H04L29/06; B60R16/023; G06F21/55,,/docs/US/2021-06-24/US20210194902A1/abs.jpg.150x150.jpg
44,US2021194854A1,0,公开,发明申请,DATA PROCESSING SYSTEMS AND METHODS FOR USING A DATA MODEL TO SELECT A TARGET DATA ASSET IN A DATA MIGRATION,"Data stored on a data asset may be migrated to another data asset while maintaining compliance to applicable regulations. A data asset may experience a failure. Based on the type of data stored by that data asset and the applicable regulations, requirements, and/or restrictions that relate to a transfer of that type data from that data asset, a target data asset may be determined. The data stored on the data asset may then be transferred to the target data asset. The disclosed systems may use data models and/or data maps in determining the requirements for a data transfer and selecting target data assets.","OneTrust, LLC",2021-03-08,H04L29/06,US17194662,US20210194854A1,2021-06-24,Arockia Gunasingam; Steven W. Finch; Saravanan Pitchaimani; Kevin Jones; Jonathan Blake Brannon,企业,H04L29/06; G06F21/62; G06F16/21,,/docs/US/2021-06-24/US20210194854A1/abs.jpg.150x150.jpg
45,US2021193917A1,0,公开,发明申请,TWO-TERMINAL REVERSIBLY SWITCHABLE MEMORY DEVICE,A memory using mixed valence conductive oxides is disclosed. The memory includes a mixed valence conductive oxide that is less conductive in its oxygen deficient state and a mixed electronic ionic conductor that is an electrolyte to oxygen and promotes an electric filed to cause oxygen ionic motion.,HEFEI RELIANCE MEMORY LIMITED,2021-03-08,H01L45/00,US17194609,US20210193917A1,2021-06-24,"Darrell RINERSON; Christophe J. CHEVALLIER; Wayne KINNEY; Roy LAMBERTSON; John E. SANCHEZ, JR.; Lawrence SCHLOSS; Philip SWAB; Edmond WARD",企业,H01L45/00; G11C11/56; G11C13/00; H01L27/24; G06F30/30,,/docs/US/2021-06-24/US20210193917A1/abs.jpg.150x150.jpg
46,US2021193277A1,0,公开,发明申请,SYSTEMS AND METHODS FOR SURFACING CONTEXTUALLY RELEVANT CONTENT INTO THE WORKFLOW OF A THIRD PARTY SYSTEM VIA A DISTRIBUTED ARCHITECTURE,"Systems and methods for surfacing contextually relevant data into the workflow of a third party system are discussed herein. The system implements a near-real-time method of detecting activity corresponding to particular electronic health records associated with particular patients in third-party systems using specifically configured software systems. A cloud-based micro-services architecture is communicably coupled to the third-party systems and is operable to transmit contextually relevant data to the third-party system in response to particular detected activities, such as accessing a patient's electronic health record. The contextually-relevant data is identified by comparing electronic health record data from various third-party systems, each third-party system associated with the particular patient, to determine gaps in the records. The contextually relevant data is transmitted to the third-party system and visually integrated into the third-party system's pre-existing clinical workflow.",SNAPS Solutions LLC,2021-03-08,G16H10/60,US17194426,US20210193277A1,2021-06-24,"Robert Emmitt Connely, IV; Bryant Paul Castleton; James Tropauer; Saurabh Mathur",企业,G16H10/60; G06F16/26; G06F16/27; H04W12/02; G16H40/67; G16H20/00; H04L29/08; G06Q40/08; G06Q10/06; G16H40/20; G16H40/63; G16B20/10; G16H30/20; G16H20/10,,/docs/US/2021-06-24/US20210193277A1/abs.jpg.150x150.jpg
47,US2021193176A1,0,公开,发明申请,CONTEXT-BASED DETECTION OF END-POINT OF UTTERANCE,"Detecting an end-point of user's voice command or utterance with high accuracy is critical in automatic speech recognition (ASR)-based human machine interface. If an ASR system incorrectly detects an end-point of utterance and transmits this incomplete sentence to other processing blocks for further processing, it is likely the processed result would lead to incorrect interpretation. A method includes selecting a first semantic network based on context of the audio signal and more accurately detecting the end-point of user's utterance included in the audio signal based on the first semantic network and also based on at least one timeout threshold associated with the first semantic network.",QUALCOMM Incorporated,2021-03-08,G10L25/87,US17195578,US20210193176A1,2021-06-24,Paras Surendra DOSHI; Ayush Agarwal; Shri Prakash,企业,G10L25/87; G10L15/05; G10L15/19; G10L15/22,,/docs/US/2021-06-24/US20210193176A1/abs.jpg.150x150.jpg
48,US2021192898A1,0,公开,发明申请,SYSTEM AND METHOD FOR UTILIZING VIRTUAL TICKET VOUCHERS,The present disclosure relates generally to a system that utilizes virtual ticket vouchers in association with one or more transactions involving one or more components of a gaming establishment ecosystem.,IGT,2021-03-08,G07F17/32,US17195195,US20210192898A1,2021-06-24,Erik Petersen; Kevin Higgins; Adrian Marcu,企业,G07F17/32,,/docs/US/2021-06-24/US20210192898A1/abs.jpg.150x150.jpg
49,US2021192858A1,0,公开,发明申请,ELECTRONIC DEVICE FOR GENERATING IMAGE INCLUDING 3D AVATAR REFLECTING FACE MOTION THROUGH 3D AVATAR CORRESPONDING TO FACE AND METHOD OF OPERATING SAME,"An electronic device is provided. The electronic device includes a camera, a display, and a processor configured to obtain a first image including one or more external objects by using the camera, display to output a three-dimensional (3D) object generated based on attributes related to a face among the one or more external objects using the display, receive a selection of at least one graphic attribute from a plurality of graphic attributes which can be applied to the 3D object, generate a 3D avatar for the face based on the at least one graphic attribute, and generate a second image including at least one object reflecting a predetermined facial expression or motion using the 3D avatar.","Samsung Electronics Co., Ltd.",2021-03-08,G06T19/20,US17194837,US20210192858A1,2021-06-24,Wooyong LEE; Yonggyoo KIM; Byunghyun MIN; Dongil SON; Chanhee YOON; Kihuk LEE; Cheolho CHEONG,企业,G06T19/20; G06T11/00; G06T13/40,,/docs/US/2021-06-24/US20210192858A1/abs.jpg.150x150.jpg
