,id,rank,loc,legalStatus,currentStatus,type,title,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath,summary
78,CN112992605A,0,,公开,公开,发明公开,隔离单元及相关产品,深圳市永联科技股份有限公司,2021-05-06,H01H47/00,CN202110487809.1,CN112992605A,2021-06-18,吴国华; 张金磊; 刘涛; 杜延磊; 朱建国; 刘友恒; 曹博浩,企业,H01H47/00,,/CN/2021/1/97/images/202110487809.jpg,本申请提供了一种隔离单元及相关产品，应用于故障报警系统，所述故障报警系统包括继电器控制系统和报警单元，所述继电器控制系统包括处理器单元、继电器驱动单元和所述隔离单元；所述隔离单元分别与所述处理器单元和所述继电器驱动单元连接，且所述隔离单元接地，以及所述继电器驱动单元连接所述报警单元；所述隔离单元用于接收来自所述处理器单元的第一控制信号，并生成第二控制信号，以及用于向所述继电器驱动单元发送所述第二控制信号，所述第二控制信号用于触发所述继电器驱动单元动作以启动所述报警单元。可以提高在处理器单元上下电瞬间对处理器驱动单元的控制的稳定性，以及提高故障报警系统的抗干扰性。
79,CN112971551A,0,,公开,公开,发明公开,烹饪装置,广东美的厨房电器制造有限公司; 美的集团股份有限公司,2021-05-06,A47J37/06,CN202110489216.9,CN112971551A,2021-06-18,陈嘉林; 郭进; 黄辉; 裴杰; 邓雁青,企业,A47J37/06; A47J36/00,,/CN/2021/1/97/images/202110489216.jpg,本发明公开了一种烹饪装置，包括箱体、门体、风道结构和风机，所述箱体内设有烹饪腔和电控组件；所述门体与所述箱体相连，所述门体设有把手，所述风道结构内设有风道，所述电控组件设于所述风道内；所述风道设有第一出风口，所述箱体设有与所述第一出风口连通的出风通道，冷风带走电控组件的热量后沿出风通道排出。在风机形成的对流作用下，风道内的气流能够集中从出风通道排出，吹出的风仍具有冷却作用，使出风通道吹出的风能够对把手沿箱体前后方向在门体的投影区域进行冷却降温，散热效果较佳，有效降低手操作开关门体时因触摸门体导致烫伤的可能性，提高冷风的利用效率，实用性更高。
80,CN113030737A,0,,公开,公开,发明公开,一种动力电池脉冲加热可靠性试验方法,重庆长安新能源汽车科技有限公司,2021-04-30,G01R31/378,CN202110481555.2,CN113030737A,2021-06-25,杨冬林; 杨涵; 赵刚; 张强; 陈坡; 邓承浩; 牟丽莎,企业,G01R31/378; G01R31/387; G01R31/392,,/CN/2021/1/96/images/202110481555.jpg,本方案涉及一种动力电池脉冲加热可靠性试验方法，能验证脉冲加热对动力电池的容量衰减的影响。其包括：S1，进行台架系统搭建并采集动力电池的初始容量；再循环执行S2至S6；S2，上位机控制12V低压电源进行低压上电；S3，上位机判断是否开启脉冲加热功能；S4，若满足，上位机控制开启对动力电池进行脉冲加热；S5，若上位机判定不再开启脉冲加热功能，上位机控制停止对动力电池脉冲加热；并采集动力电池的当前容量；S6，上位机判断动力电池的当前容量相对于动力电池的初始容量的衰减百分比，并判定所述衰减百分比是否大于或等于预设百分比；S7，若是，则上位机控制12V低压电源下电，以停止试验，并记录本次试验过程中对动力电池进行脉冲加热的总次数。
81,CN113030363A,0,,公开,公开,发明公开,一种溴代三嗪的检测方法、检测系统和应用,格力大松(宿迁)生活电器有限公司; 珠海格力电器股份有限公司,2021-04-30,G01N30/88,CN202110483272.1,CN113030363A,2021-06-25,白伟; 窦晓文; 沈冬冬; 廖永慷; 吴倩; 陆松,企业,G01N30/88,,/CN/2021/1/96/images/202110483272.jpg,本发明公开了一种溴代三嗪的检测方法、检测系统和应用。本发明的溴代三嗪的检测方法包括步骤：步骤A、将含有溴代三嗪的塑料原料与萃取剂混合，得到含有溴代三嗪的萃取液；步骤B、所述萃取液经分离、过滤后得到上清液；步骤C、将所述上清液和稀释剂混合后，进行液相色谱分析，得到所述塑料原料中溴代三嗪的含量。本发明提供的检测方法，利用液相色谱分析法检测溴代三嗪的含量，无需单独制作测试样条，只需对含有溴代三嗪的塑料原料进行预处理后，就能够直接对其中的溴代三嗪含量进行测定，具有高效快速、准确可靠、灵敏度高的特点，且能够保证使用溴代三嗪做阻燃剂时原材料的阻燃性能，阻燃测试周期较短。
82,CN113029929A,0,,公开,公开,发明公开,一种老化实验装置,格力电器(武汉)有限公司; 珠海格力电器股份有限公司,2021-04-30,G01N17/00,CN202110480809.9,CN113029929A,2021-06-25,黄兴兵; 翟志强; 唐晓华; 闵亚东; 周于凡; 邓文瑞,企业,G01N17/00,,/CN/2021/1/96/images/202110480809.jpg,本发明公开了一种老化实验装置，架体上设有夹具，夹具设有多组固定组件，各组固定组件分别用于固定样品。本发明所述的老化实验装置，通过固定组件，可将多种样品固定在夹具上，可有效解决试样装夹难、过程繁琐、效率低、试验过程中试样易脱落等问题，提高测试效率和可靠性。
83,CN113028081A,0,,公开,公开,发明公开,一种燃气灶的控制阀结构,温岭华哲电器科技有限公司,2021-04-30,F16K1/52,CN202110485540.3,CN113028081A,2021-06-25,林君辉,企业,F16K1/52; F16K5/06; F16K31/62; F24C3/10; F24C3/12,,/CN/2021/1/97/images/202110485540.jpg,本发明提供了一种燃气灶的控制阀结构，属于机械技术领域。它解决了现有的控制阀结构存在安全隐患的问题。本燃气灶的控制阀结构，包括具有进气口与出气口的阀体、用于控制进气口与出气口相互连通或断开的按压开关、以及具有点火功能的控制开关，控制开关设置在进气口处且能够控制进气口开闭，且控制开关将进气口打开时能够点燃输送至燃气灶炉头处的燃气，阀体上还具有与进气口连通的点火气口，点火气口位于控制开关与按压开关之间。控制开关将进气口打开后，点火气口处输送的燃气能够形成常明火种，后续通过按压开关进行开关火操作时，控制开关均不再参与点火，减小了控制开关点火灵敏度降低的可能，保证每次点火都能成功，消除了安全隐患。
84,CN113022344A,0,,公开,公开,发明公开,一种基于双电机的动力电池充电系统及电动汽车,重庆长安新能源汽车科技有限公司,2021-04-30,B60L53/24,CN202110482896.1,CN113022344A,2021-06-25,彭钱磊; 赵伟; 杜长虹; 郑援; 陈富; 冉彦杰; 朱天宇; 邓承浩,企业,B60L53/24; B60L58/10,,/CN/2021/1/96/images/202110482896.jpg,本发明公开了一种基于双电机的动力电池充电系统及电动汽车，包括电池管理系统、整车控制器、第一电机系统和第二电机系统；第一电机系统包括第一电机控制器、第一电机、第一继电器K11和第二继电器K12；第二电机系统包括第二电机控制器、第二电机、第三继电器K21和第四继电器K22。在动力电池需要充电时，整车控制器对第一、第二电机系统进行控制，使得直流供电模块对动力电池进行升压充电或者直接充电。本发明能实现冗余设计，在充电使用条件允许情况下，通过两套电机系统功率的叠加，实现了功率扩容且减少了单次充电时长，提高了动力电池充电效率。
85,CN113017448A,0,,公开,公开,发明公开,搅拌装置及具有其的烹饪器具,广东美的厨房电器制造有限公司; 美的集团股份有限公司,2021-04-30,A47J43/07,CN202110485629.X,CN113017448A,2021-06-25,周鑫韬; 董永军; 刘波; 周宇; 唐相伟; 郭浩正,企业,A47J43/07; A47J43/08,,/CN/2021/1/97/images/202110485629.jpg,本发明公开了一种搅拌装置及具有其的烹饪器具，其中，搅拌装置包括收纳组件、驱动件和搅拌组件，收纳组件包括支撑臂和收纳壳体，支撑臂可转动地连接在收纳壳体上，支撑臂可在支撑位置和收纳位置之间转动，支撑臂上设有开口的收纳腔，驱动件设在收纳壳体上，搅拌组件包括搅拌轴和搅拌片，搅拌轴的一端连接驱动件的输出轴，搅拌轴上可折叠地设有搅拌片，支撑臂在收纳位置时，支撑臂靠拢在输出轴上，搅拌片朝向搅拌轴靠拢折叠并收纳在收纳腔中。本发明实施例的搅拌装置，搅拌片在朝向搅拌轴靠拢折叠后可收纳在支撑臂形成的收纳腔内，收纳腔起到保护搅拌片的作用，延长搅拌片的使用寿命，且搅拌片在折叠后还可减小搅拌装置的体积，便于携带。
86,CN113017443A,0,,公开,公开,发明公开,烹饪设备,广东美的厨房电器制造有限公司; 美的集团股份有限公司,2021-04-30,A47J37/06,CN202110486013.4,CN113017443A,2021-06-25,郭进; 陈嘉林; 黄辉; 邓雁青,企业,A47J37/06; F21V33/00; F21V21/00; F21V7/04,,/CN/2021/1/97/images/202110486013.jpg,本发明公开了一种烹饪设备，包括箱体和照明灯，箱体内具有烹饪腔，箱体包括位于烹饪腔顶部的第一顶板组件和第二顶板组件，第二顶板组件位于第一顶板组件的一端且向下倾斜设置，第二顶板组件包括安装板和固定板，固定板设有透光部；照明灯包括灯体和灯座，灯座与安装板固定连接，灯体位于透光部远离烹饪腔的一端。本发明通过设置沿第一顶板组件的一端向下倾斜设置的第二顶板组件，照明灯的灯座与安装板固定连接从而使照明灯实现稳定的安装，其安装方便快捷，提升了装配效率；照明灯的灯体与透光部相对设置，倾斜设置的灯体将灯光直接照射至烹饪腔的食物表面，提升了照射效果，便于用户观察烹饪腔内食物的加工情况。
87,CN113017419A,0,,公开,公开,发明公开,一种温度可调节的温开水直饮装置及其控制方法,浙江久康电器有限公司,2021-04-30,A47J31/00,CN202110482865.6,CN113017419A,2021-06-25,沈春雷; 张光力,企业,A47J31/00; A47J31/50,,/CN/2021/1/96/images/202110482865.jpg,本发明公开了一种温度可调节的温开水直饮装置及其控制方法，包括供水水箱、加热模块、冷却模块和温度控制器，所述供水水箱通过进水管和加热模块相连，所述冷却模块连接出水管；所述供水水箱、进水管、加热模块、冷却模块和出水管依次连通形成可连续出水的温开水供水通道；所述加热模块还通过旁路支管和出水管相连形成可连续出水的热开水供水通道；所述冷却模块与出水管的连接处设有出水测温探头，所述温度控制器与出水测温探头相连采集出水温度，并通过控制冷却模块中冷却液体流量或空气气流量的大小来调节出水温度。本发明能够按需进行实时的加热降温，不需冷热调和，快速提供恒温连续的鲜活水，饮水方式更健康，且更节能环保。
88,CN113002577A,0,,公开,公开,发明公开,民用空调在非客运列车上保障行车安全的安装方法及装置,广西菱缇电器设备有限公司,2021-04-30,B61D27/00,CN202110486071.7,CN113002577A,2021-06-22,王建洲,企业,B61D27/00,,/CN/2021/1/97/images/202110486071.jpg,本发明公开了一种民用空调在非客运列车上保障行车安全的安装方法及装置，包括固定板、支撑架、安装架、夹持架、空调器，所述固定板呈竖直状态安装在列车内的侧壁上，支撑架与固定板下部连接。本发明解决了民用空调用于列车上因振动与冲击影响到空调器线路松动，从而造成的电路过流、电气打火等故障，甚至火灾等安全隐患，且整机固定采用防撞击、晃动设计减少空调损坏，除运用以上空调器安装机械及环境等措施的技术以外，安装方法还包括依照铁路客运列车空调机组运行技术条件和铁道客车配线布线规则等，对安装在列车上的民用空调器原设计内部电气线路的连接方式和固定方式，进行了升级改造，更加符合铁路非客运列车运行的安全技术要求。
89,CN112994191A,0,,公开,公开,发明公开,一种电流控制单元、供电装置及车辆,深圳市永联科技股份有限公司,2021-04-30,H02J7/00,CN202110478122.1,CN112994191A,2021-06-18,张金磊; 曾炳光; 刘涛; 吴国华; 朱建国,企业,H02J7/00; B60L58/22,,/CN/2021/1/95/images/202110478122.jpg,本发明提供一种电流控制单元、供电装置及车辆，该电流控制单元包括供电模块、控制模块、二极管模块、输出端口和输入端口，控制模块用于获取二极管模块的第一温度信息，根据第一温度信息控制二极管模块的压降，以对供电模块的输出电流进行调整，有利于在向负载供电时对内部供电模块的输出电流进行控制，以减轻因输出电流过大对供电模块的使用寿命和安全性带来的不利影响。该供电装置包括M个上述电流控制单元，M个电流控制单元并联后向负载充电，供电装置结构简单，单个装置可使用不同类别、不同物理特性的供电模块，装置可以低成本实现内部供电模块输出电流均衡，有利于提高供电装置的使用寿命、安全性和可靠性。该车辆包括此供电装置。
90,CN112986897A,0,,公开,公开,发明公开,一种计量控制回路及费控告警方法,国网山东省电力公司安丘市供电公司; 国家电网有限公司,2021-04-30,G01R35/04,CN202110477359.8,CN112986897A,2021-06-18,马亮; 江佃秋; 周健; 曹凯凯; 韩本超; 王国维; 李金莲; 王楠; 张静雯; 吴学西; 张晓辉; 夏龙宇; 王杰忠,企业,G01R35/04; G01R22/06,,/CN/2021/1/95/images/202110477359.jpg,本发明提供一种计量控制回路及费控告警方法。计量控制回路包括光电继电器、第一及第二中间继电器、声音报警器、跳闸线圈、电费计量装置以及用于与光电继电器配合使用的第一及第二发光元件，其中：电费计量装置能实时计算电力用户的电费余额，并能在用户电费余额不足时控制第一发光元件发光，还能在用户的电费余额低过于零时控制第二发光元件发光；光电继电器的第一常开触点与第一中间继电器串联，光电继电器的第二常开触点与第二中间继电器串联，第一中间继电器的常开触点与声音报警器串联，第二中间继电器的常开触点与跳闸线圈串联。费控告警方法基于计量控制回路。本发明用于避免从表尾端子排引线实现余额报警和欠费跳闸动作。
91,CN112986815A,0,,公开,公开,发明公开,断路器防跳回路的测试电路及测试方法,帝森克罗德集团有限公司,2021-04-30,G01R31/327,CN202110480763.0,CN112986815A,2021-06-18,刘起洋; 陈子栋,企业,G01R31/327,,/CN/2021/1/96/images/202110480763.jpg,本发明涉及一种断路器防跳回路的测试电路及测试方法，测试电路包括模拟合闸回路、辅助接点回路、大电流供给回路和模拟分闸回路；模拟合闸回路根据合闸信号模拟待测试的防跳回路的合闸动作，并通过辅助接点回路进入分闸动作的预备阶段，在接收到分闸信号后，大电流供给回路为防跳回路的电流线圈提供大电流，同时模拟分闸回路根据分闸信号模拟防跳回路的分闸动作，根据合闸动作和分闸动作的模拟测试，检测防跳回路的功能是否正常。本发明大大简化了测试步骤，在分闸时，通过大电流供给回路为防跳回路的电流线圈提供瞬时大电流，能够实现对防跳回路的快速测试，显著提高了测试效率，成本低。
92,CN112971556A,0,,公开,公开,发明公开,烹饪器具及刀具组件,广东美的厨房电器制造有限公司; 美的集团股份有限公司,2021-04-30,A47J43/07,CN202110485684.9,CN112971556A,2021-06-18,刘波; 董永军; 周鑫涛; 周宇; 唐相伟,企业,A47J43/07; A47J43/044,,/CN/2021/1/97/images/202110485684.jpg,本发明公开了一种烹饪器具及刀具组件，烹饪器具包括：机体；杯体；刀具组件；盖体组件，设在机体上且包括与刀具组件相连的第一驱动电机；过热蒸汽发生组件，设在杯体的底部且包括过热蒸汽发生器本体、蒸汽喷嘴、水箱和水泵，蒸汽喷嘴设在第一装配孔处，水泵分别与水箱和过热蒸汽发生器本体相连。根据本发明的烹饪器具，水泵将水箱中的水注入到过热蒸汽发生器本体中，并在过热蒸汽发生器本体中发生管内沸腾，产生干度为1的饱和蒸汽，并对饱和蒸汽二段加热，使得蒸汽达到过热状态。过热蒸汽经过蒸汽喷嘴喷出，与杯体表面发生对流换热与凝结换热，释放出蒸汽过饱和热量与相变潜热，从而加热杯体，最终加热食材，使得食材沸、浓缩，达到制酱目的。
93,CN112944423A,0,,公开,公开,发明公开,液膜式防污抽烟机,张卫,2021-04-30,F24C15/20,CN202110480469.X,CN112944423A,2021-06-11,张卫,其他,F24C15/20,,/CN/2021/1/96/images/202110480469.jpg,一种液膜式防污抽烟机。机箱的前面板设置为内倾斜板结构，在前面板的上端设置有主水槽。盖板平行设置在前面板的外侧并与抽烟孔相对应，在盖板的上端设置有副水槽。储水池连接在机箱的下端，前面板和盖板的下端均伸入储水池中。排风扇设置在机箱中并与抽烟孔相对应，水泵设置在机箱中并通过给水管、支水管和吸水管分别与主水槽、副水槽和储水池连接。排风扇、水泵和控电器顺序电连接。液体注入储水池中。首先开启水泵将储水池中的液体分别注入主水槽和副水槽中，当主水槽和副水槽中的液体溢出并分别沿前面板和盖板的板面流入储水池时再开启排风扇。由于盖板和前面板上流淌的液体的隔离，因此油烟不能在盖板和前面板的板面上凝结成油污。
94,CN113055578A,0,,公开,公开,发明公开,一种矿用执法记录方法及记录仪,扬中市南方矿用电器有限公司,2021-04-29,H04N5/225,CN202110473340.6,CN113055578A,2021-06-29,袁臣; 宋兆雪; 赵青山; 吕振,企业,H04N5/225; H04N5/76,,/CN/2021/1/94/images/202110473340.jpg,本发明公开了一种矿用执法记录方法，涉及矿用设备技术领域，包括，获取各项数据，并记录获取每项数据时对应的数据采集特征信息；根据数据类型分类储存各项数据至本地，并将对应的所述数据采集特征信息同步储存；以所述数据采集特征信息作为筛选条件，筛选出含有与目标特征信息一致的数据采集特征信息的各项数据，并储存至同一数据库内。本发明在获取各项数据的同时会同步记录获取该数据的数据采集特征信息，并以数据采集特征信息作为筛选条件，筛选出具有同一数据采集特征信息的各项数据，并储存至同一数据库，省去了后期取用时在大量数据中进行查找的工作量，便于对数据的查看和取用。
95,CN113054479A,0,,公开,公开,发明公开,一种防老化高阻燃电源插座,中山市佰源凯照明电器有限公司,2021-04-29,H01R13/502,CN202110471630.7,CN113054479A,2021-06-29,孙志胜,企业,H01R13/502; H01R13/46; H05K7/20,,/CN/2021/1/94/images/202110471630.jpg,本发明涉及电器插座技术领域，尤其为一种防老化高阻燃电源插座，包括收纳盒插座主体，所述收纳盒插座主体包括收纳盒盖和收纳盒体，所述收纳盒体的内部设置有电源插座，所述收纳盒体的底部设置有收纳盒底座，所述收纳盒底座沿着宽度方向的两侧均开设有多组均匀分布的散热孔，发明中，通过设置的防老化高阻燃电源插座，给原有的插座增加了收纳盒的作用，不仅对电源插座起到了保护的作用，防止灰尘落入插座内部，避免了容易老化的问题，同时又解决了插座占用场地的问题，提高了桌面的整洁度和可利用空间，实用性强。
96,CN113053681A,0,,公开,公开,发明公开,一种可选择的过载报警不脱扣功能的双电源转换开关,浙江人民电器有限公司,2021-04-29,H01H9/16,CN202110476281.8,CN113053681A,2021-06-29,翟连钢; 陈彦明; 胡陈键; 潘锦强; 朱志荣; 章仕斌,企业,H01H9/16; H02J9/06,,/CN/2021/1/95/images/202110476281.jpg,本发明提供一种可选择的过载报警不脱扣功能的双电源转换开关，包括：开关本体，设有报警组件；热动作件，设于开关本体内，热动作件在过载时，能够触发报警组件发出报警信号，从而及时通知工作员人快速排查故障，实现了过载报警不断电。
97,CN113052724A,0,,公开,公开,发明公开,一种非侵入式负荷用电信息的聚类方法、装置及设备,杭州电力设备制造有限公司; 国网浙江杭州市余杭区供电有限公司; 国网浙江省电力有限公司杭州供电公司; 杭州电子科技大学,2021-04-29,G06Q50/06,CN202110474324.9,CN113052724A,2021-06-29,缪宇峰; 汪李忠; 俞啸玲; 高俊青; 郭强; 姚海燕; 胡翔; 张国连; 姚程高; 凌志阳; 孔亚广; 莫水良; 刘凤,企业,G06Q50/06; G06K9/62,,/CN/2021/1/94/images/202110474324.jpg,本发明公开了一种非侵入式负荷用电信息的聚类方法，考虑到Kmeans聚类算法能够将原始的包含多对象的数据集，以较低的计算量迅速划分为指定数目个集群，因此本申请率先用Kmeans聚类算法对目标电器的用电信息的采集序列进行处理，以得到第一预设数量个中层集群，在此基础之上再通过凝聚层次聚类方法对所有的中层集群进行循环地合并聚类，直至聚类结果满足预设迭代截止条件，避免了直接对原始的数据集进行迭代运算，在损失较小精度的基础上减少了运算量，降低了CPU的工作压力并提升了分类速度。本发明还公开了一种非侵入式负荷用电信息的聚类装置及设备，具有如上非侵入式负荷用电信息的聚类方法相同的有益效果。
98,CN113048657A,0,,公开,公开,发明公开,燃气热水器抗风控制方法及燃气热水器,芜湖美的厨卫电器制造有限公司,2021-04-29,F24H9/20,CN202110476608.1,CN113048657A,2021-06-29,宋珂; 鲍光兵; 吴海涛,企业,F24H9/20,,/CN/2021/1/95/images/202110476608.jpg,本发明涉及燃气热水器，公开了一种使用恒流风机排风的燃气热水器抗风控制方法，包括如下步骤：1)获取恒流风机的实际风机转速；2)计算实际风机转速与目标风机转速的差值占目标风机转速的比例，并以计算烟管实时堵塞度参数；3)比较实时堵塞度参数与报警点的大小，如果大于报警点，则：比较风机电流与设定报警电流的大小，如果风机电流小于设定报警电流，给出烟管阻塞故障报警信息；4)比较实时堵塞度参数与设定的额外补风点的大小，如果大于额外补风点，将风机转速提高设定转速。本发明的方法能够实现风机的精确补风和提高小负荷段的抗风能力。本发明还公开了一种使用本发明的方法的燃气热水器。
99,CN113027512A,0,,公开,公开,发明公开,一种煤矿瓦斯抽采管道用检测装置及方法,扬中市南方矿用电器有限公司,2021-04-29,E21F7/00,CN202110474110.1,CN113027512A,2021-06-25,袁臣,企业,E21F7/00; E21F17/18; E21F17/00,,/CN/2021/1/94/images/202110474110.jpg,本发明公开了一种煤矿瓦斯抽采管道用检测装置，涉及矿用检测设备技术领域，包括数据采集模块，用于采集所述抽采管道内的各项参数；定位模块，用于获取设备所在的位置信息，并记录每个采样点的位置信息；数据处理模块，用于接收所述数据采集模块和所述定位模块传输的数据，并进行整合，形成对应采样点的数据组；数据储存模块，用于接收所述数据处理模块传输的整合后的数据组并存储；主控模块，用于向其他功能模块传输控制信号；以及，电源模块。本发明在对采样点的参数进行采集的同时，还会同步记录该采样点的位置信息，并将测量参数与对应位置信息绑定存储，在进行数据采集的同时进行数据整理。
100,CN113022702A,0,,公开,公开,发明公开,基于线控转向和博弈结果的智能网联汽车自适应避障系统,吉林大学; 江苏超力电器有限公司,2021-04-29,B62D15/02,CN202110471884.9,CN113022702A,2021-06-25,常宇鹏; 郑宏宇; 何睿; 郭中阳; 宋娟娟; 王剑波; 吴竟启; 束琦,学校,B62D15/02; G06N3/04; G06N3/08; G06F17/10,,/CN/2021/1/94/images/202110471884.jpg,本发明公开了一种基于线控转向和博弈结果的智能网联汽车自适应避障系统，属于智能汽车决策领域，通过监测驾驶员驾驶状态、车辆行驶状态和周围环境信息，识别车辆前方障碍物信息，分析驾驶员与智能网联汽车避障博弈过程，根据驾驶员和智能网联汽车避障操作和路径评定博弈结果，量化驾驶员和智能网联汽车避障水平，将采集到的博弈期间的人车环境信息上报给中央服务器，将各个智能网联汽车上报数据分类并组成新的训练数据集，以此训练并提升智能网联汽车避障能力。
101,CN113019784A,0,,公开,公开,发明公开,一种绝缘子用涂料涂覆装置,醴陵市高力特电瓷电器有限公司,2021-04-29,B05B16/20,CN202110475953.3,CN113019784A,2021-06-25,张韩,企业,B05B16/20; B05B15/20; B05B13/02; B05D3/04,,/CN/2021/1/95/images/202110475953.jpg,本发明公开了一种绝缘子用涂料涂覆装置，包括箱体、风扇、电热网、第一喷枪、第二喷枪、传送带，所述箱体的顶部固定安装有烘干机构，将涂料凝固附着在绝缘子上，实现了对绝缘子涂层的烘干作用，所述箱体的后侧壁上设置有第一固定块，所述第一固定块和第一喷枪固定连接，所述箱体的后侧壁上设置有第二固定块，所述第二固定块和第二喷枪固定连接，所述箱体的左侧壁开设有进料槽，所述箱体的右侧壁开设有出料槽，所述进料槽与出料槽之间安装有传送带，所述传送带上固定连接有固定杆，所述固定杆内部开设有滑动腔，所述固定杆内滑动连接有滑动杆，降低了人力增强效率，同时也实现了对绝缘子的充分喷涂。
102,CN113018817A,0,,公开,公开,发明公开,新型儿童网球自动发球机,南京日杰通信科技有限公司,2021-04-29,A63B69/40,CN202110470445.6,CN113018817A,2021-06-25,罗存,企业,A63B69/40; A63B69/38,,/CN/2021/1/94/images/202110470445.jpg,本发明公开了一种新型儿童网球自动发球机，该自动发球机最大的特点是实现了儿童练习者能够以直观的、从容的和仔细的练习、分析击球方式，以及球因球与球拍之间不同的接触位置而产生的不同飞行轨迹，使练习者获得最直接的感性认识，使儿童练习者的技能得到实质性的飞跃。
103,CN112994558A,0,,公开,公开,发明公开,异步电机控制器,潍坊博奥汽车配件有限公司,2021-04-29,H02P21/00,CN202110468611.9,CN112994558A,2021-06-18,张连伟; 刘振兴,企业,H02P21/00; H02P21/14; H02P21/18; B60L15/20,,/CN/2021/1/93/images/202110468611.jpg,本发明提供了一种用于电动汽车的异步电机控制器，以TI公司的TMS320F28035作为主控芯片，并采用管理芯片与主控芯片相互配合进行信号处理，不仅增加了外部接口的数量，而且提高了信号处理的效率，并结合检测模块的各检测单元及各传感器对直流母线电压、异步电机、功率模块、档位器、电子油门、刹车等是否存在异常情况进行检测，在提高电动汽车安全性的同时，实现异步电机在运行过程中能输出尽可能大的转矩和达到比较高的效率。
104,CN112966799A,0,,公开,公开,发明公开,一种煤矿井下区域定位方法及装置,扬中市南方矿用电器有限公司,2021-04-29,G06K17/00,CN202110473336.X,CN112966799A,2021-06-15,袁臣,企业,G06K17/00; G06T17/05; G06T19/20; H04W4/021; H04W4/029; H04W4/80; H04W52/02; G06Q50/02; G16Y10/20; G16Y20/10; G16Y20/40; G16Y40/10; G16Y40/60,,/CN/2021/1/94/images/202110473336.jpg,本发明公开了一种煤矿井下区域定位方法，涉及矿井安全设备技术领域，包括以下步骤：S1：将煤矿井下的空间划分成若干个区域；S2：每个区域内布设区域定位装置；S3：区域定位装置获取所在区域内边界及内部结构物的位置和结构参数，建立三维空间模型；S4：对若干个三维空间模型进行组合拼接，得到煤矿井下整体的三维空间模型；S5：井下人员进入任一区域时佩戴的感应元件进入对应区域定位装置的感应区域内，确认所处位置。本发明获取到煤矿井下实际的三维空间模型，更为直观地展示井下工作人员的所处位置以及移动路径，另外，当煤矿井下出现部分坍塌或陷落时，可直观地展示出具体坍塌位置以及坍塌情况，便于确认离井路线和救援路线。
105,CN112937985A,0,,公开,公开,发明公开,一种智能蔗渣打包装置的控制方法及系统,廉江市东方机械有限公司; 中国热带农业科学院农业机械研究所,2021-04-29,B65B27/12,CN202110472839.5,CN112937985A,2021-06-11,刘智强; 罗钢; 黄伟华; 李明; 韦丽娇; 葛畅; 牛钊君,企业,B65B27/12; B65B57/00; B65B65/08; B65B55/00,,/CN/2021/1/94/images/202110472839.jpg,本发明公开了一种智能蔗渣打包装置的控制方法及系统，包括遥控器，其输出端和信号接收机的输入端相连接，所述信号接收机的接收端和信号发射机相连接，所述信号接收机的输出端和单片机的输入端相连接；继电器，其输入端和所述单片机的输出端相连接，所述继电器的输出端和穿绳装置的输入端相连接，便于蔗渣打包时的穿绳控制，减轻工作人员的工作量。该智能蔗渣打包装置的控制方法及系统，穿绳装置的输入端和继电器的输出端相连接，并且继电器的输入端和单片机的输出端相连接，而单片机的输入端和信号接收机的输出端相连接，这样便于远程操控穿绳装置，对蔗渣进行穿绳打包处理，有效减轻工作人员的工作量，也提高了蔗渣的打包进度。
106,CN112937251A,0,,公开,公开,发明公开,一种车载空调压缩机控制方法及系统,吉林大学,2021-04-29,B60H1/00,CN202110474088.0,CN112937251A,2021-06-11,曾小华; 李亚朋; 宋大凤; 高福旺; 黄钰峰; 岳一霖; 段朝胜; 李敦迈; 向远贵; 郑琦,学校,B60H1/00,,/CN/2021/1/94/images/202110474088.jpg,本发明提供一种车载空调压缩机控制方法，包括以下步骤：先基于温度传感器信息或乘员输入需求温度，确定空调系统的目标温度；同时根据车辆传感器采集的状态信息，可以计算得到乘员舱总热功率，利用空调压缩机转速确定制冷量，计算得到系统温度；根据目标温度和系统温度，外环利用滑模控制原理，内环使用空调压缩机电机前馈‑反馈复合转速控制，可将空调压缩机转速控制在目标转速附近，从而控制系统温度在乘员需求温度或舒适温度范围内。本发明还提供了一种车载空调压缩机控制系统。本发明能够准确响应乘员舱温度需求，保证乘员舒适性，优化空调系统效率，且，相较于现有控制技术，抗干扰能力更强。
107,CN113037078A,0,,公开,公开,发明公开,采用时分技术控制放电功率的装置,韩文智,2021-04-28,H02M3/04,CN202110468683.3,CN113037078A,2021-06-25,韩文智,其他,H02M3/04; A23L5/30; A23L5/20,,/CN/2021/1/93/images/202110468683.jpg,本发明为采用时分技术控制放电功率的装置，属于脉冲用电设备的控制领域；提出一种不影响用电设备直接供电的脉冲频率，仅对脉冲电源提供设备进行间歇性供电的控制模块；技术方案为：采用时分技术控制放电功率的装置，包括：时分电路模块和放电功率模块；所述放电功率模块包括放电单元和与之匹配的高压包，所述高压包与放电单元电气连接，所述高压包向放电单元提供高压脉冲，所述高压包与时分电路模块输出端连接，所述时分电路模块输出频率可控的脉冲。
